bc2021,bc_naam,mbc,mbc_code,pDiscr,gini_inc_st,avg_inc,sh_housow1,sh_housow3,simp_educ,simp_motive,simp_conbirth,median_inc,totalhh,sh_housow2,sh_housow8,avg_welfare,sh_welf1,sh_welf2,sh_welf3,sh_welf4,sh_welf5,sh_educ1,sh_educ3,sh_educ4,sh_educ5,sh_educ6,sh_recent,sh_stat1,sh_stat2,sh_stat3,sh_stat4,sh_stat5,totalpop,N_conbirth,forborn_sh,NLbornbur,abs_disrep,gini_inc_st_norm,avg_inc_norm,sh_housow1_norm,sh_housow3_norm,simp_educ_norm,simp_motive_norm,simp_conbirth_norm,pDiscr_norm
5991463,Ommoord,Ommoord,1,0.09,0.241,26958.58,0.38,0.26,0.64,0.65,0.31,24269,13217,0.34,0.02,11,0.81,0.04,0.04,0.03,0.07,0.13,0.54,0.07,0.19,0.07,0.02,0.47,0.09,0.05,0.33,0.05,25716,165,0.17,21310,17,2,2,2,2,2,2,2,2
5991467,Oosterflank,Oosterflank,1,0.11,0.243,25439.53,0.33,0.33,0.67,0.68,0.47,22648,5558,0.33,0.01,16,0.73,0.05,0.06,0.05,0.11,0.17,0.52,0.09,0.14,0.08,0.03,0.5,0.11,0.11,0.23,0.06,10570,144,0.27,7676,17,2,2,2,2,2,2,2,2
5991574,Oud Charlois,Oud Charlois,1,0.24,0.261,23235.59,0.33,0.29,0.67,0.63,0.6,21225.5,6799,0.36,0.02,16,0.73,0.06,0.07,0.04,0.09,0.16,0.51,0.07,0.19,0.07,0.05,0.56,0.18,0.1,0.06,0.11,13826,153,0.37,8678,12,2,2,2,2,2,2,2,3
5990837,Oud Crooswijk,Oud Crooswijk,1,0.22,0.252,20702.76,0.08,0.47,0.68,0.59,0.58,18270.5,4034,0.41,0.03,23,0.63,0.06,0.09,0.07,0.15,0.26,0.48,0.07,0.12,0.07,0.03,0.58,0.06,0.07,0.24,0.05,8161,128,0.36,5190,7,2,1,1,3,2,2,2,3
5991283,Oud IJsselmonde,Oud IJsselmonde,1,0.12,0.258,33307.68,0.69,0.07,0.65,0.66,0.38,31206,2686,0.23,NA,7,0.86,0.05,0.03,0.02,0.03,0.08,0.53,0.07,0.22,0.09,0.02,0.53,0.15,0.09,0.15,0.08,5980,109,0.21,4711,14,2,2,3,1,2,2,2,2
5990327,Oud Mathenesse,Oud Mathenesse/Witte Dorp,7,0.21,0.243,22993.02,0.36,0.27,0.62,0.68,0.72,21644,3811,0.36,0,14,0.77,0.06,0.05,0.04,0.08,0.18,0.57,0.06,0.12,0.08,0.1,0.5,0.21,0.1,0.07,0.12,7192,138,0.49,3685,16,2,2,2,2,2,2,3,3
5990535,Oude Noorden,Oude Noorden,1,0.19,0.293,23609.32,0.2,0.35,0.74,0.66,0.58,20325,8649,0.45,0.01,18,0.71,0.06,0.07,0.05,0.11,0.19,0.4,0.08,0.17,0.17,0.03,0.52,0.12,0.1,0.18,0.08,17026,168,0.36,10902,15,2,2,2,2,2,2,2,2
5990111,Oude Westen,Oude Westen,1,0.22,0.328,23977.31,0.18,0.36,0.77,0.71,0.66,19247,5085,0.42,0.04,17,0.72,0.05,0.07,0.05,0.11,0.18,0.26,0.05,0.24,0.26,0.04,0.46,0.16,0.13,0.18,0.07,9602,147,0.43,5476,15,2,2,2,2,3,2,3,3
5990456,Overschie,Overschie,1,0.11,0.27,30795.46,0.64,0.15,0.66,0.67,0.28,28156,3155,0.21,0,9,0.84,0.05,0.04,0.02,0.05,0.11,0.52,0.06,0.19,0.11,0.02,0.52,0.16,0.06,0.15,0.11,6842,104,0.15,5819,3,2,2,3,2,2,2,2,2
5991577,Pendrecht,Pendrecht,1,0.16,0.238,23084.99,0.31,0.34,0.63,0.62,0.63,21150.5,5634,0.32,0.04,19,0.68,0.06,0.08,0.06,0.11,0.21,0.56,0.09,0.11,0.04,0.04,0.56,0.09,0.04,0.22,0.08,12221,138,0.4,7329,12,2,2,2,2,2,2,2,2
